1,2210,2210
2,2258,4468
3,2178,6646
4,1958,8604
5,1212,9816
6,2808,12624
7,2152,14776
8,1993,16769
9,1261,18030
10,1219,19249
11,1317,20566
12,1251,21817
13,1179,22996
14,1978,24974
15,2211,27185
16,1253,28438
17,1212,29650
18,1831,31481
19,1260,32741
20,1194,33935
21,1944,35879
22,2844,38723
23,2158,40881
24,1228,42109
25,2194,44303
26,1239,45542
27,2091,47633
28,1992,49625
29,1185,50810
30,1241,52051
31,1987,54038
32,1234,55272
33,1240,56512
34,1942,58454
35,1237,59691
36,1960,61651
37,1949,63600
38,1206,64806
39,1205,66011
40,1203,67214
41,1971,69185
42,1197,70382
43,1975,72357
44,1229,73586
45,1316,74902
46,1757,76659
47,2016,78675
48,1255,79930
49,1209,81139
50,1989,83128
51,1968,85096
52,1201,86297
53,2264,88561
54,2661,91222
55,2593,93815
56,1954,95769
57,1287,97056
58,2200,99256
59,1184,100440
60,1243,101683
61,1199,102882
62,2005,104887
63,1244,106131
64,2013,108144
65,1953,110097
66,1202,111299
67,2288,113587
68,1937,115524
69,2187,117711
70,1209,118920
71,1227,120147
72,1911,122058
73,1238,123296
74,1167,124463
75,1257,125720
76,1241,126961
77,1167,128128
78,1193,129321
79,1250,130571
80,1954,132525
81,1329,133854
82,1176,135030
83,1257,136287
84,1196,137483
85,1320,138803
86,1953,140756
87,1195,141951
88,1203,143154
89,1223,144377
90,1966,146343
91,1197,147540
92,2199,149739
93,1216,150955
94,2040,152995
95,1963,154958
96,1193,156151
97,1258,157409
98,1196,158605
99,1928,160533
100,1979,162512
